"strata_q1","survey","mood1","mood2","mood3","mood4","mood5","mood6","helpneighbors20_q1","discussissues","helpcommproj","trustkeys","proudneigh","agegroup","birthsex","newrace6","education","employment20","imputed_povertygroup","hhsize","delaypayrent","rodentsstreet","k6","nspd","wt21_dual_q1","social_cohesion","k6_total","ageband","gender","race_ethnicity"
20201304,21,5,5,5,5,4,5,1,2,3,1,1,4,2,3,1,7,1,1,2,2,1,2,57.5609005959437,1.6,29,"65+","Female","Hispanic"
20201500,21,5,5,5,5,5,5,1,3,1,4,1,3,2,1,4,1,4,3,2,2,0,2,577.652346348975,2,30,"45-64","Female","White"
20201210,21,5,3,5,5,3,5,4,1,1,1,1,4,1,2,1,8,1,2,1,2,4,2,170.942621518772,1.6,26,"65+","Male","Black"
20201400,21,3,5,3,5,5,5,2,3,3,2,1,4,2,1,2,7,2,5,2,2,4,2,9706.46372130293,2.2,26,"65+","Female","White"
20201107,21,5,4,4,5,5,5,2,2,4,1,1,4,2,1,4,2,4,1,2,1,2,2,481.5084359585,2,28,"65+","Female","White"
20201109,21,3,3,5,5,5,5,2,3,2,2,1,3,2,1,4,1,5,3,2,2,4,2,106.368947445839,2,26,"45-64","Female","White"
20201212,21,5,5,5,5,5,5,2,4,4,1,1,4,1,2,2,7,3,1,2,2,0,2,643.002019242186,2.4,30,"65+","Male","Black"
20201410,21,5,5,5,5,5,5,1,1,2,1,1,4,2,1,4,7,2,7,2,2,0,2,1453.34577649141,1.2,30,"65+","Female","White"
20201301,21,5,5,5,5,5,5,1,1,1,1,1,3,1,2,2,1,2,2,2,1,0,2,2877.78416292966,1,30,"45-64","Male","Black"
20201308,21,1,5,4,3,4,5,4,4,1,1,1,3,2,3,1,1,1,2,2,1,8,2,54.6634844328665,2.2,22,"45-64","Female","Hispanic"
20201410,21,5,5,5,5,5,5,1,4,3,4,4,3,2,3,1,1,5,4,2,1,0,2,1261.94914961012,3.2,30,"45-64","Female","Hispanic"
20201313,21,5,5,5,5,5,5,2,4,4,4,4,1,2,2,3,6,1,2,2,2,0,2,398.948831987982,3.6,30,"18-44","Female","Black"
20201210,21,5,4,5,5,5,5,2,1,1,2,1,3,1,2,1,1,4,1,2,2,1,2,217.592767215522,1.4,29,"45-64","Male","Black"
20201406,21,5,4,4,5,5,5,1,1,4,1,1,3,2,1,4,2,5,1,1,2,2,2,164.547281919693,1.6,28,"45-64","Female","White"
20201316,21,5,5,5,5,5,5,3,NA,4,4,1,4,2,2,2,7,3,1,2,2,0,2,55.909730819199,3,30,"65+","Female","Black"
20201207,21,4,4,2,4,1,5,2,4,4,4,2,2,2,3,4,1,2,4,2,1,10,2,353.765161010268,3.2,20,"18-44","Female","Hispanic"
20201405,21,5,4,5,5,5,5,4,4,1,4,1,4,2,1,1,7,3,1,2,2,1,2,3584.68660746926,2.8,29,"65+","Female","White"
20201112,21,5,3,5,3,5,5,3,4,4,4,3,2,2,1,4,1,5,3,1,1,4,2,947.381934785078,3.6,26,"18-44","Female","White"
20201411,21,5,5,5,5,5,5,2,1,1,1,1,3,2,1,4,7,4,3,2,2,0,2,4826.5251789473,1.2,30,"45-64","Female","White"
20201300,21,5,5,5,5,5,5,NA,NA,1,1,1,4,2,2,2,7,1,4,2,2,0,2,7961.3489835225,1,30,"65+","Female","Black"
20201315,21,5,5,5,5,5,5,2,3,4,4,1,3,1,1,2,3,1,1,2,2,0,2,4365.3526002973,2.8,30,"45-64","Male","White"
20201316,21,5,5,3,5,2,5,1,1,2,1,1,4,2,1,2,7,2,2,2,2,5,2,365.384595842737,1.2,25,"65+","Female","White"
20201312,21,5,4,5,5,5,5,1,2,2,1,1,1,NA,1,2,5,2,5,NA,2,1,2,1121.18768510967,1.4,29,"18-44",NA,"White"
20201408,21,4,3,3,5,4,5,1,3,4,1,1,1,2,1,2,6,1,6,2,2,6,2,2498.3571980599,2,24,"18-44","Female","White"
20201300,21,5,5,5,5,5,5,1,1,NA,1,1,4,2,2,3,7,2,1,2,2,0,2,2502.74050582346,1,30,"65+","Female","Black"
20201104,21,5,3,5,5,5,5,3,2,4,1,1,3,1,1,4,1,5,2,2,2,2,2,1070.20186965892,2.2,28,"45-64","Male","White"
20201212,21,4,5,5,3,5,5,2,4,4,1,1,4,2,6,2,7,1,2,2,2,3,2,948.139582682108,2.4,27,"65+","Female","Other"
20201394,21,5,4,5,5,5,5,1,2,2,1,1,3,1,3,4,1,5,1,2,1,1,2,29.190279335436,1.4,29,"45-64","Male","Hispanic"
20201312,21,5,3,4,5,4,5,1,1,1,1,1,3,2,1,2,1,2,6,2,2,4,2,2104.94678892412,1,26,"45-64","Female","White"
20201104,21,5,5,4,5,5,5,1,4,4,1,1,3,2,3,1,1,4,1,2,2,1,2,244.215638886321,2.2,29,"45-64","Female","Hispanic"
20201312,21,5,5,5,5,5,5,1,2,1,1,1,4,1,1,4,1,4,2,2,2,0,2,676.201177295328,1.2,30,"65+","Male","White"
